Name,NUE_High_N,NUE_Low_N,Q1,Q2,Q3,Q4,Q5
S1,1.009331133,1.005866451,0,0,0,0,0
S10,1.029146882,1.002192449,1,1.92E-96,3.98E-173,3.12E-167,2.33E-51
S100,0.931754184,0.922372185,0,0,0,0,0
S101,1.023976643,1.076930809,0,0,0,0,0
S102,1.069484691,1.030034349,7.02E-47,3.69E-54,2.89E-140,3.48E-135,1
S103,0.83826232,0.861390581,1.96E-137,1,1.34E-215,2.42E-210,4.14E-69
S104,1.084758614,0.943722527,2.71E-79,1,5.20E-157,2.29E-151,2.17E-15
S105,0.997237932,0.939571142,5.88E-62,1,3.24E-182,4.04E-179,1.00E-54
S106,0.940057033,0.980438888,1.55E-83,1,3.58E-153,5.53E-149,3.36E-21
S107,1.11918909,1.088801515,9.89E-54,2.15E-30,3.17E-125,9.14E-121,1
S108,1.072164343,0.98348597,3.17E-52,5.57E-25,2.15E-134,3.26E-133,1
S109,1.075540486,1.019282893,1,5.42E-89,1.35E-181,9.81E-176,3.90E-48
S11,1.040023862,1.071512154,1,3.90E-97,9.75E-182,5.90E-175,4.45E-56
S110,1.031985319,1.033906006,1.32E-66,4.92E-15,2.40E-144,1.51E-141,1
S111,1.064679581,0.974664465,1.33E-92,1,5.96E-167,9.27E-164,1.09E-24
S112,1.068204838,1.039609055,1,3.43E-91,5.25E-175,9.51E-169,6.46E-51
S113,0.899830233,0.958714842,1,9.99E-101,4.29E-186,6.12E-179,5.12E-53
S114,0.991944167,0.978804185,2.88E-44,3.96E-50,1.18E-139,1.25E-133,1
S115,1.02813093,1.023947371,1,7.29E-84,2.29E-176,3.24E-172,4.42E-46
S116,1.037597094,0.984554489,1,8.83E-97,9.18E-184,1.08E-177,1.60E-49
S117,1.05088415,0.977861204,5.41E-62,1,7.59E-194,5.89E-190,2.61E-56
S118,1.011585111,0.961616273,3.11E-50,1.86E-52,8.41E-137,3.68E-131,1
S119,1.070582127,1.09066247,1,1.27E-85,6.64E-187,1.72E-180,1.29E-50
S12,0.965328766,1.003023436,1,6.91E-103,1.23E-194,9.52E-188,2.23E-60
S120,1.038997958,1.074406602,1,2.57E-100,1.54E-182,8.21E-177,2.30E-51
S121,1.040396932,0.974852874,1.12E-46,2.19E-58,0.0000664,0.999933222,0.000000361
S122,1.046809184,1.057336496,1,8.02E-92,3.56E-198,6.28E-190,2.28E-53
S123,1.03055985,0.995822269,1,3.77E-96,3.92E-172,8.25E-165,1.05E-51
S124,1.011291111,0.985451141,1,2.50E-99,4.57E-181,4.49E-175,9.61E-54
S125,0.960936475,0.979966581,1,1.99E-99,5.58E-178,5.17E-173,1.81E-53
S126,1.053378582,0.90872978,1,1.08E-88,6.52E-179,4.37E-171,2.00E-51
S127,1.168847081,1.161150415,1,3.19E-81,2.21E-164,7.03E-157,1.51E-45
S128,0.944226531,0.905777398,1.84E-47,8.92E-49,3.27E-138,4.88E-131,1
S129,1.04901156,1.090083247,1,5.50E-94,7.92E-184,3.32E-177,4.02E-51
